DATA,mean_spei
2021-01-01,0.03
2021-01-09,-0.03
2021-01-16,-0.13
2021-01-23,-0.22
2021-02-01,0.03
2021-02-09,-0.05
2021-02-16,-0.01
2021-02-23,-0.02
2021-03-01,0.09
2021-03-09,0.08
2021-03-16,-0.12
2021-03-23,-0.22
2021-04-01,-0.51
2021-04-09,-0.39
2021-04-16,-0.45
2021-04-23,-0.29
2021-05-01,-0.5
2021-05-09,-0.49
2021-05-16,-0.57
2021-05-23,-0.75
2021-06-01,-0.81
2021-06-09,-0.83
2021-06-16,-0.62
2021-06-23,-0.58
2021-07-01,-0.58
2021-07-09,-0.6
2021-07-16,-0.73
2021-07-23,-0.74
2021-08-01,-0.87
2021-08-09,-0.88
2021-08-16,-0.94
2021-08-23,-0.77
2021-09-01,-0.74
2021-09-09,-0.13
2021-09-16,-0.19
2021-09-23,0.47
2021-10-01,0.37
2021-10-09,0.1
2021-10-16,-0.14
2021-10-23,-0.48
2021-11-01,-0.75
2021-11-09,-0.83
2021-11-16,-0.68
2021-11-23,-0.79
2021-12-01,-0.83
2021-12-09,-0.95
2021-12-16,-0.86
2021-12-23,-0.6
2022-01-01,-0.63
2022-01-09,-0.67
2022-01-16,-0.78
2022-01-23,-1.18
2022-02-01,-1.13
2022-02-09,-1.14
2022-02-16,-1.19
2022-02-23,-1.14
2022-03-01,-1.15
2022-03-09,-0.74
2022-03-16,-0.61
2022-03-23,-0.34
2022-04-01,-0.33
2022-04-09,-0.35
2022-04-16,-0.3
2022-04-23,-0.46
2022-05-01,-0.33
2022-05-09,-0.45
2022-05-16,-0.5
2022-05-23,-0.58
2022-06-01,-0.59
2022-06-09,-0.79
2022-06-16,-0.84
2022-06-23,-1.12
2022-07-01,-0.97
2022-07-09,-1.05
2022-07-16,-1.12
2022-07-23,-1.22
2022-08-01,-1.17
2022-08-09,-0.76
2022-08-16,-0.87
2022-08-23,-0.49
2022-09-01,-0.56
2022-09-09,-0.24
2022-09-16,-0.32
2022-09-23,-0.67
2022-10-01,-0.76
2022-10-09,-0.91
2022-10-16,-0.82
2022-10-23,-0.86
2022-11-01,-1.03
2022-11-09,-0.97
2022-11-16,-0.99
2022-11-23,-0.97
2022-12-01,-0.04
2022-12-09,0.22
2022-12-16,0.08
2022-12-23,-0.11
2023-01-01,-0.25
2023-01-09,-0.45
2023-01-16,-0.53
2023-01-23,-0.62
2023-02-01,-0.41
2023-02-09,-0.47
2023-02-16,-0.5
2023-02-23,-0.51
2023-03-01,-0.75
2023-03-09,-0.88
2023-03-16,-0.96
2023-03-23,-1.13
2023-04-01,-1.37
2023-04-09,-1.4
2023-04-16,-1.52
2023-04-23,-1.65
2023-05-01,-1.72
2023-05-09,-1.86
2023-05-16,-1.46
2023-05-23,-1.19
2023-06-01,-0.84
2023-06-09,-0.84
2023-06-16,-0.92
2023-06-23,-1.04
2023-07-01,-1.38
2023-07-09,-1.51
2023-07-16,-1.46
2023-07-23,-1.27
